session_id,user_id,tool_id,session_date,duration_min
S00152,U0368,T03,2026-02-15,150
S00153,U1805,T09,2025-05-05,62
S00154,U2271,T05,2025-04-28,91
S00155,U1278,T03,2023-03-27,33
S00156,U0412,T08,2023-09-07,126
S00157,U1430,T05,2023-09-02,85
S00158,U1565,T02,2023-12-03,138
S00159,U2185,T08,2025-10-31,27
S00160,U2041,T06,2026-02-28,36
S00161,U1318,T02,2023-07-22,146
S00162,U0999,T08,2024-05-11,129
S00163,U1381,T01,2023-12-08,20
S00164,U0064,T07,2024-11-10,83
S00165,U2270,T10,2024-05-18,95
S00166,U0599,T02,2024-01-21,13
S00167,U0722,T06,2025-06-11,179
S00168,U1080,T04,2023-11-26,58
S00169,U1661,T09,2024-01-15,49
S00170,U0980,T08,2023-10-21,162
S00171,U1155,T10,2024-10-25,46
S00172,U1309,T09,2026-03-21,164
S00173,U1155,T04,2024-02-04,47
S00174,U1155,T01,2023-10-19,38
S00175,U0106,T07,2023-04-17,94
S00176,U1839,T03,2025-05-26,60
S00177,U0643,T09,2025-01-03,49
S00178,U0281,T05,2025-01-30,90
S00179,U0199,T09,2024-09-16,180
S00180,U0638,T10,2025-09-11,170
S00181,U0213,T08,2025-05-04,161
S00182,U0360,T01,2023-01-17,16
S00183,U0067,T01,2024-03-16,99
S00184,U0835,T08,2023-04-01,17
S00185,U0908,T05,2024-02-15,148
S00186,U0733,T04,2026-03-19,55
S00187,U1522,T09,2024-03-16,39
S00188,U2326,T02,2024-10-05,46
S00189,U2233,T08,2025-10-19,10
S00190,U2222,T08,2023-05-19,8
S00191,U1861,T06,2026-03-18,96
S00192,U1417,T07,2023-10-21,36
S00193,U0447,T08,2024-10-28,47
S00194,U0288,T07,2023-02-12,134
S00195,U1819,T01,2023-10-04,80
S00196,U1152,T05,2023-05-03,126
S00197,U1946,T01,2026-03-09,43
S00198,U0004,T08,2025-04-23,14
S00199,U0998,T02,2025-03-06,177
S00200,U2203,T09,2023-02-27,154
S00201,U1261,T01,2023-02-16,66
S00202,U2175,T07,2024-07-24,165
S00203,U1491,T01,2024-03-12,162
S00204,U1757,T04,2025-07-15,133
S00205,U0203,T03,2026-01-13,164
S00206,U1108,T01,2023-07-18,106
S00207,U0392,T01,2025-10-10,158
S00208,U2007,T03,2023-08-17,130
S00209,U1027,T03,2023-05-04,32
S00210,U2182,T08,2023-05-27,51
S00211,U1382,T08,2025-12-31,45
S00212,U1998,T06,2024-06-10,81
S00213,U1983,T03,2024-09-10,138
S00214,U0120,T03,2024-05-13,31
S00215,U1594,T02,2023-09-06,80
S00216,U0405,T05,2024-03-28,49
S00217,U1481,T02,2025-07-09,30
S00218,U1323,T09,2026-01-23,21
S00219,U1829,T10,2025-06-08,27
S00220,U2154,T10,2023-08-18,124
S00221,U2454,T08,2024-06-09,102
S00222,U1906,T08,2025-02-15,103
S00223,U0400,T07,2024-11-14,165
S00224,U0043,T02,2023-12-22,131
S00225,U1764,T01,2023-06-25,104
S00226,U2078,T10,2024-11-07,15
S00227,U0111,T09,2023-01-02,120
S00228,U2171,T03,2025-07-15,82
S00229,U1665,T02,2025-11-03,162
S00230,U0838,T07,2024-10-13,130
S00231,U1760,T07,2023-03-05,150
S00232,U2168,T09,2023-07-29,48
S00233,U1660,T09,2023-11-14,70
S00234,U0882,T08,2023-10-09,92
S00235,U2247,T02,2023-11-20,157
S00236,U2019,T01,2024-09-29,14
S00237,U2238,T02,2024-07-05,131
S00238,U0644,T07,2024-05-29,95
S00239,U1207,T06,2024-06-02,52
S00240,U2147,T10,2024-03-14,164
S00241,U2211,T02,2023-11-17,69
S00242,U0496,T04,2023-04-01,180
S00243,U0563,T09,2026-04-08,179
S00244,U1858,T09,2023-08-24,143
S00245,U2289,T04,2023-12-30,111
S00246,U1728,T10,2023-12-06,15
S00247,U1345,T01,2024-10-18,48
S00248,U0605,T06,2024-05-20,174
S00249,U2387,T01,2025-05-07,172
S00250,U0641,T06,2026-04-15,59
S00251,U0998,T08,2024-07-30,74
S00252,U2400,T09,2025-10-31,150
S00253,U2054,T08,2024-04-03,46
S00254,U0270,T10,2024-05-25,121
S00255,U0569,T07,2023-12-11,10
S00256,U0386,T01,2023-03-11,148
S00257,U0226,T10,2025-10-17,123
S00258,U0100,T08,2024-06-21,77
S00259,U1130,T07,2025-09-07,35
S00260,U0360,T05,2025-02-11,116
S00261,U0807,T04,2025-12-15,44
S00262,U0283,T05,2024-02-27,30
S00263,U1433,T05,2023-10-08,61
S00264,U1467,T06,2023-11-23,31
S00265,U0430,T04,2024-09-13,65
S00266,U0269,T01,2024-11-11,159
S00267,U1546,T04,2025-01-17,161
S00268,U0315,T08,2025-08-15,89
S00269,U1199,T06,2025-12-04,9
S00270,U2091,T02,2023-09-21,47
S00271,U0083,T01,2024-05-22,57
S00272,U1770,T05,2024-01-15,32
S00273,U1539,T09,2025-12-10,7
S00274,U0808,T02,2024-03-23,45
S00275,U1283,T04,2024-10-10,63
S00276,U1074,T06,2025-03-13,86
S00277,U0201,T08,2024-02-14,179
S00278,U0450,T08,2023-11-15,104
S00279,U1545,T04,2024-10-04,91
S00280,U0976,T08,2025-08-14,107
S00281,U0018,T08,2024-12-21,169
S00282,U1972,T06,2023-04-23,118
S00283,U1608,T10,2026-04-02,177
S00284,U1949,T08,2024-08-12,20
S00285,U2060,T08,2024-04-19,28
S00286,U1240,T03,2025-07-12,59
S00287,U1096,T03,2026-01-14,82
S00288,U1607,T01,2024-01-21,149
S00289,U2451,T08,2023-01-29,79
S00290,U1088,T09,2024-06-15,24
S00291,U1599,T01,2026-03-12,146
S00292,U0158,T04,2025-08-26,60
S00293,U1617,T06,2024-09-04,129
S00294,U2098,T05,2024-06-23,159
S00295,U0659,T07,2025-04-07,132
S00296,U2281,T04,2024-04-27,109
S00297,U2449,T08,2023-06-03,104
S00298,U0231,T01,2024-01-24,95
S00299,U0808,T02,2023-03-19,125
S00300,U0783,T01,2024-01-01,85
S00301,U0176,T09,2024-06-07,57
S00302,U0783,T07,2025-12-14,21
S00303,U2351,T03,2024-06-07,16
S00304,U0596,T01,2023-05-02,156
S00305,U2271,T04,2023-12-25,88
S00306,U0574,T03,2025-04-07,153
S00307,U0005,T01,2026-04-03,90
S00308,U2073,T01,2024-03-16,25
S00309,U1975,T08,2023-06-01,48
S00310,U1106,T09,2023-02-07,110
S00311,U1194,T10,2026-02-21,154
S00312,U0821,T03,2024-10-16,30
S00313,U2353,T05,2024-09-13,56
S00314,U2315,T09,2023-08-17,8
S00315,U1149,T04,2024-03-19,65
S00316,U2221,T04,2025-10-17,86
S00317,U1635,T10,2025-09-14,31
S00318,U1522,T02,2025-08-11,69
S00319,U1949,T01,2023-02-11,90
S00320,U1960,T01,2024-05-19,145
S00321,U0515,T01,2025-03-19,29
S00322,U0949,T01,2024-09-06,162
S00323,U1516,T02,2023-07-17,75
S00324,U1150,T03,2024-04-27,142
S00325,U2483,T03,2025-09-04,19
S00326,U1687,T08,2023-03-03,8
S00327,U1357,T07,2024-09-02,129
S00328,U0212,T08,2024-10-13,113
S00329,U0105,T03,2024-07-29,97
S00330,U0986,T02,2023-10-24,161
S00331,U1309,T07,2026-01-13,143
S00332,U2396,T05,2025-12-22,87
S00333,U1504,T08,2023-10-16,162
S00334,U0859,T07,2024-03-16,31
S00335,U0333,T03,2023-01-31,167
S00336,U0088,T02,2025-07-19,140
S00337,U2334,T02,2024-01-16,96
S00338,U2160,T09,2023-12-21,51
S00339,U1707,T02,2025-08-04,32
S00340,U0011,T08,2025-01-17,108
S00341,U0590,T10,2025-01-15,40
S00342,U2452,T04,2025-03-08,88
S00343,U0774,T09,2025-12-28,30
S00344,U1265,T08,2024-02-28,153
S00345,U1860,T03,2024-06-08,18
S00346,U0670,T04,2025-10-02,143
S00347,U0808,T01,2025-03-29,166
S00348,U1412,T08,2025-11-04,111
S00349,U0907,T04,2023-06-14,8
S00350,U0638,T08,2024-03-17,132
S00351,U1102,T07,2023-09-11,134
S00352,U0287,T02,2024-12-11,48
S00353,U0815,T07,2024-09-26,109
S00354,U1056,T09,2024-05-17,101
S00355,U1671,T01,2023-03-23,54
S00356,U1525,T07,2024-10-21,109
S00357,U1133,T08,2025-03-13,49
S00358,U0528,T07,2024-12-16,178
S00359,U1499,T10,2025-02-03,133
S00360,U1782,T01,2025-01-23,36
S00361,U1369,T01,2024-03-11,161
S00362,U1468,T03,2026-02-13,154
S00363,U1174,T08,2026-02-20,49
S00364,U1733,T06,2025-01-30,12
S00365,U0683,T03,2025-01-05,125
S00366,U1828,T09,2024-01-29,36
S00367,U1315,T01,2025-05-27,61
S00368,U1799,T05,2025-05-10,75
S00369,U0326,T09,2024-02-11,120
S00370,U0458,T01,2023-01-10,141
S00371,U2347,T04,2024-05-05,13
S00372,U2477,T08,2024-11-10,57
S00373,U0781,T02,2023-02-28,81
S00374,U1150,T02,2023-10-01,99
S00375,U1844,T07,2024-11-05,20
S00376,U2081,T05,2023-06-21,123
S00377,U0912,T03,2026-03-04,153
S00378,U2401,T04,2025-12-08,79
S00379,U2411,T10,2025-08-20,78
S00380,U1149,T02,2026-02-03,171
S00381,U1040,T03,2023-12-30,139
S00382,U2434,T03,2025-05-28,82
S00383,U1627,T07,2024-04-19,47
S00384,U1688,T03,2026-02-25,143
S00385,U1353,T04,2024-03-21,43
S00386,U1179,T02,2023-06-04,66
S00387,U0473,T05,2023-01-22,38
S00388,U1663,T07,2023-04-26,36
S00389,U2469,T01,2023-09-27,124
S00390,U1618,T05,2024-05-03,45
S00391,U1928,T04,2026-04-11,62
S00392,U2481,T05,2025-12-08,111
S00393,U1887,T10,2026-02-27,77
S00394,U0542,T09,2023-09-22,13
S00395,U0536,T09,2023-11-12,154
S00396,U0039,T09,2024-06-01,144
S00397,U2248,T03,2023-03-12,93
S00398,U1970,T09,2024-01-17,64
S00399,U1333,T03,2024-03-08,177
S00400,U0707,T10,2025-10-06,174
S00401,U1014,T03,2024-03-03,16
S00402,U2107,T06,2024-05-20,108
S00403,U1873,T05,2024-01-09,34
S00404,U0181,T02,2023-03-16,78
S00405,U2041,T01,2023-09-04,166
S00406,U1279,T10,2025-01-29,93
S00407,U0980,T04,2024-06-09,53
S00408,U0665,T06,2024-07-25,173
S00409,U1324,T06,2023-03-17,24
S00410,U0874,T03,2025-03-17,170
S00411,U1876,T04,2023-01-26,123
S00412,U1625,T07,2024-12-14,180
S00413,U1520,T08,2023-01-18,170
S00414,U1034,T02,2023-04-30,108
S00415,U1667,T06,2025-04-01,52
S00416,U1248,T04,2023-07-03,82
S00417,U0122,T07,2023-03-21,122
S00418,U0024,T07,2024-02-20,144
S00419,U1950,T05,2023-02-18,158
S00420,U0858,T04,2023-10-12,158
S00421,U1358,T04,2024-06-23,89
S00422,U0147,T07,2024-08-16,9
S00423,U1917,T01,2025-05-20,9
S00424,U0448,T03,2024-05-23,9
S00425,U1658,T10,2025-06-30,44
S00426,U0316,T04,2024-01-27,111
S00427,U2305,T10,2025-01-03,99
S00428,U0257,T04,2024-02-07,29
S00429,U0523,T10,2024-07-20,93
S00430,U1342,T07,2024-06-24,110
S00431,U1456,T04,2023-06-03,121
S00432,U0897,T05,2023-01-22,135
S00433,U2456,T06,2024-01-23,96
S00434,U2352,T05,2025-02-05,55
S00435,U1438,T06,2026-02-06,145
S00436,U1098,T07,2023-07-03,101
S00437,U0781,T08,2026-03-28,55
S00438,U0887,T06,2025-09-08,117
S00439,U0021,T01,2024-09-05,37
S00440,U2092,T07,2023-05-26,80
S00441,U2269,T10,2023-09-20,87
S00442,U1320,T07,2025-09-01,166
S00443,U2312,T03,2024-06-10,61
S00444,U1010,T07,2026-03-13,99
S00445,U2195,T01,2024-09-09,123
S00446,U2072,T06,2023-01-11,43
S00447,U1951,T08,2023-02-09,13
S00448,U1602,T07,2023-08-09,57
S00449,U1741,T06,2025-06-01,120
S00450,U1575,T07,2023-05-09,132
S00451,U0748,T09,2024-03-14,52
S00452,U0409,T07,2025-01-09,61
S00453,U0737,T07,2026-04-10,95
S00454,U2451,T06,2023-10-17,142
S00455,U0653,T04,2024-06-09,145
S00456,U1014,T02,2023-06-12,56
S00457,U2306,T07,2025-10-04,14
S00458,U1317,T04,2023-06-03,114
S00459,U0346,T06,2024-01-09,127
S00460,U0966,T06,2026-03-18,55
S00461,U1161,T03,2025-07-16,33
S00462,U0116,T02,2024-06-03,141
S00463,U1251,T02,2024-08-04,56
S00464,U1896,T04,2023-02-28,111
S00465,U0304,T06,2025-08-11,120
S00466,U1851,T09,2024-04-02,115
S00467,U1132,T07,2023-06-28,152
S00468,U1636,T07,2023-07-24,31
S00469,U1494,T06,2024-12-20,106
S00470,U1953,T08,2024-02-26,169
S00471,U0883,T03,2024-02-28,34
S00472,U0057,T10,2024-01-13,129
S00473,U1408,T05,2024-09-28,27
S00474,U0861,T10,2026-01-27,41
S00475,U1036,T04,2023-07-16,150
S00476,U1225,T09,2025-05-02,87
S00477,U2369,T09,2024-12-31,44
S00478,U2146,T08,2025-11-01,63
S00479,U1282,T04,2026-02-08,89
S00480,U0526,T09,2023-10-09,106
S00481,U1155,T01,2023-03-02,13
S00482,U1667,T06,2023-03-29,133
S00483,U1890,T10,2025-07-22,167
S00484,U2066,T05,2026-01-18,107
S00485,U1656,T06,2024-06-02,129
S00486,U0328,T01,2023-11-03,85
S00487,U0265,T06,2023-04-22,20
S00488,U1571,T06,2024-03-18,40
S00489,U1756,T04,2024-08-03,92
S00490,U0020,T04,2024-03-11,72
S00491,U1657,T05,2025-08-21,108
S00492,U1998,T10,2025-08-12,72
S00493,U0070,T08,2025-07-07,121
S00494,U2163,T07,2024-03-22,157
S00495,U1500,T07,2023-12-15,49
S00496,U2320,T08,2026-02-04,95
S00497,U2129,T01,2024-03-16,33
S00498,U1531,T01,2025-07-07,21
S00499,U1333,T02,2023-07-06,137
S00500,U1497,T04,2023-07-05,90
S00501,U0529,T04,2024-12-20,65
S00502,U1096,T04,2025-11-09,105
S00503,U2380,T01,2023-01-30,71
S00504,U1148,T08,2023-08-27,129
S00505,U1688,T05,2023-07-18,20
S00506,U1409,T08,2025-01-22,142
S00507,U2462,T05,2024-02-15,114
S00508,U1568,T03,2026-03-06,171
S00509,U1511,T02,2026-02-25,118
S00510,U1155,T08,2025-01-24,56
S00511,U1352,T07,2025-01-25,48
S00512,U1824,T06,2024-05-28,144
S00513,U0524,T04,2023-11-23,90
S00514,U0010,T02,2023-10-12,56
S00515,U0539,T09,2025-11-03,17
S00516,U1565,T03,2023-09-23,91
S00517,U1936,T08,2023-07-16,9
S00518,U1593,T03,2025-02-15,27
S00519,U2476,T03,2023-06-24,135
S00520,U1066,T05,2023-11-06,152
S00521,U1368,T02,2026-03-30,118
S00522,U0351,T09,2023-01-26,54
S00523,U2151,T06,2025-06-18,34
S00524,U0774,T01,2026-04-15,11
S00525,U2277,T02,2024-09-16,166
S00526,U0088,T07,2026-02-01,49
S00527,U2214,T10,2024-06-19,50
S00528,U0192,T01,2026-02-28,53
S00529,U0771,T03,2023-09-05,167
S00530,U1473,T01,2024-09-24,33
S00531,U2445,T03,2024-03-19,5
S00532,U0207,T04,2023-12-18,112
S00533,U2340,T04,2023-10-17,6
S00534,U2095,T08,2025-10-04,13
S00535,U0605,T08,2024-06-06,123
S00536,U2300,T06,2024-11-23,160
S00537,U1898,T07,2024-04-28,100
S00538,U1909,T08,2025-10-09,6
S00539,U0769,T06,2024-01-28,30
S00540,U1372,T08,2023-04-03,52
S00541,U1071,T09,2024-05-12,119
S00542,U1772,T03,2023-12-19,156
S00543,U0163,T09,2026-03-13,85
S00544,U1980,T05,2026-02-04,70
S00545,U1137,T09,2025-10-22,101
S00546,U1003,T09,2024-04-03,92
S00547,U1264,T05,2026-03-15,86
S00548,U2361,T07,2024-06-19,67
S00549,U2453,T10,2023-06-20,172
S00550,U2032,T03,2025-02-02,145
S00551,U2359,T03,2026-01-12,158
S00552,U0335,T08,2025-09-03,180
S00553,U1492,T06,2023-06-03,142
S00554,U2121,T04,2024-03-30,175
S00555,U0600,T06,2024-12-03,143
S00556,U2116,T09,2026-01-21,48
S00557,U0680,T04,2024-02-23,57
S00558,U2215,T01,2026-03-08,167
S00559,U1699,T04,2025-07-30,110
S00560,U1356,T01,2024-10-08,50
S00561,U0517,T04,2025-05-06,146
S00562,U1995,T03,2025-11-08,35
S00563,U0511,T10,2023-07-20,9
S00564,U1909,T03,2023-06-21,144
S00565,U0362,T03,2023-01-27,109
S00566,U1139,T04,2024-12-08,172
S00567,U1797,T08,2025-08-07,158
S00568,U2023,T08,2026-03-18,71
S00569,U0419,T06,2024-11-28,21
S00570,U1871,T10,2025-03-05,76
S00571,U1616,T06,2023-05-20,82
S00572,U0561,T05,2023-02-10,42
S00573,U0739,T03,2025-02-22,36
S00574,U1014,T07,2023-12-16,79
S00575,U1418,T10,2025-12-18,37
S00576,U1631,T02,2025-02-17,97
S00577,U0936,T01,2023-07-28,59
S00578,U1563,T02,2023-03-01,150
S00579,U1504,T06,2025-03-02,34
S00580,U0568,T10,2023-12-06,60
S00581,U0860,T08,2024-03-26,140
S00582,U0743,T08,2024-06-11,128
S00583,U0921,T07,2023-02-08,8
S00584,U0508,T03,2023-04-14,64
S00585,U1305,T06,2023-08-07,111
S00586,U1936,T03,2023-03-23,74
S00587,U2367,T06,2024-03-05,143
S00588,U1405,T08,2023-10-08,77
S00589,U1191,T01,2025-01-14,131
S00590,U0117,T10,2024-04-20,64
S00591,U0205,T09,2026-01-24,80
S00592,U0739,T08,2024-08-25,145
S00593,U0281,T04,2023-09-10,52
S00594,U2326,T01,2024-10-18,38
S00595,U2070,T03,2023-04-15,55
S00596,U0689,T04,2023-11-05,173
S00597,U0918,T09,2024-05-11,68
S00598,U2344,T05,2025-11-24,162
S00599,U1736,T04,2026-03-05,43
S00600,U1551,T10,2026-04-13,37
S00601,U0719,T07,2025-02-25,133
S00602,U0637,T02,2026-03-11,140
S00603,U0524,T09,2024-01-30,174
S00604,U0681,T08,2024-04-18,125
S00605,U0271,T06,2023-05-02,132
S00606,U0513,T08,2023-10-22,134
S00607,U2193,T07,2025-03-13,33
S00608,U0127,T03,2024-02-04,161
S00609,U2314,T04,2024-07-01,164
S00610,U1560,T05,2023-03-29,14
S00611,U1971,T08,2023-06-15,115
S00612,U0544,T07,2024-03-10,163
S00613,U0075,T01,2024-07-03,10
S00614,U0972,T03,2024-02-23,177
S00615,U1934,T10,2024-06-29,169
S00616,U0654,T09,2024-01-28,75
S00617,U1526,T07,2023-02-03,101
S00618,U0296,T09,2025-06-07,80
S00619,U0005,T05,2023-09-01,55
S00620,U1940,T02,2025-01-05,171
S00621,U0912,T10,2023-12-03,161
S00622,U0034,T07,2025-02-09,152
S00623,U0187,T03,2026-01-11,44
S00624,U1040,T08,2025-03-17,39
S00625,U0406,T06,2025-07-04,161
S00626,U1006,T05,2024-01-16,47
S00627,U1839,T08,2024-02-03,106
S00628,U0288,T04,2025-05-29,52
S00629,U1796,T01,2023-06-03,17
S00630,U0632,T03,2025-06-05,53
S00631,U2473,T07,2025-12-15,30
S00632,U1313,T07,2026-03-30,103
S00633,U1164,T04,2025-05-10,16
S00634,U0135,T06,2024-05-29,101
S00635,U2033,T05,2023-06-27,88
S00636,U2320,T03,2023-04-19,26
S00637,U0236,T03,2025-10-03,91
S00638,U1734,T01,2025-06-29,36
S00639,U1994,T05,2024-02-19,101
S00640,U0687,T07,2024-04-01,98
S00641,U1590,T02,2025-08-20,161
S00642,U1641,T06,2024-04-14,19
S00643,U0317,T05,2023-04-28,151
S00644,U0874,T07,2024-03-15,145
S00645,U0801,T01,2023-05-15,83
S00646,U0277,T10,2023-01-07,140
S00647,U0106,T03,2025-07-11,45
S00648,U0203,T01,2024-05-05,62
S00649,U0808,T09,2023-03-05,120
S00650,U0998,T07,2024-04-13,170
S00651,U0596,T06,2023-04-27,139
S00652,U2251,T06,2025-06-10,13
S00653,U1469,T01,2024-03-27,127
S00654,U2340,T07,2024-03-17,125
S00655,U1150,T03,2025-01-25,171
S00656,U1196,T02,2023-01-14,154
S00657,U2148,T09,2025-03-31,147
S00658,U1612,T10,2026-03-07,155
S00659,U0456,T03,2023-12-01,76
S00660,U1476,T01,2024-08-03,54
S00661,U1575,T02,2025-07-30,17
S00662,U0631,T01,2023-11-15,40
S00663,U1858,T03,2023-11-02,49
S00664,U2324,T03,2024-10-05,152
S00665,U0967,T10,2023-09-12,97
S00666,U1035,T02,2023-04-10,50
S00667,U0491,T01,2024-05-03,17
S00668,U1229,T03,2026-01-24,6
S00669,U0714,T08,2023-03-06,115
S00670,U0053,T02,2024-01-04,25
S00671,U0163,T01,2024-11-19,127
S00672,U2487,T08,2024-07-08,128
S00673,U2276,T02,2025-11-07,179
S00674,U2302,T10,2024-05-23,62
S00675,U1273,T09,2025-04-27,127
S00676,U0093,T05,2026-03-28,128
S00677,U1796,T04,2025-03-16,42
S00678,U0728,T03,2023-05-16,86
S00679,U0893,T08,2023-01-09,30
S00680,U1405,T01,2025-11-21,86
S00681,U1024,T03,2024-02-16,162
S00682,U2153,T06,2024-03-06,90
S00683,U0656,T07,2025-06-23,48
S00684,U1611,T06,2025-02-03,82
S00685,U1085,T04,2024-12-25,34
S00686,U1454,T10,2023-12-05,152
S00687,U0605,T05,2023-12-25,140
S00688,U2155,T05,2026-03-07,67
S00689,U0917,T08,2024-02-27,172
S00690,U1027,T05,2025-10-04,85
S00691,U0704,T06,2024-09-26,6
S00692,U0051,T09,2025-02-19,109
S00693,U1161,T06,2023-10-25,37
S00694,U2340,T02,2023-06-22,152
S00695,U2356,T10,2023-07-01,31
S00696,U0739,T04,2025-01-09,19
S00697,U0903,T06,2025-04-22,111
