prompt_id,session_id,category,tokens
P00095,S06318,Image Generation,138
P00096,S07003,Research,398
P00097,S00095,Business,281
P00098,S07307,Coding,169
P00099,S03518,Writing,542
P00100,S02382,Research,113
P00101,S03704,Learning,85
P00102,S03301,Coding,644
P00103,S04449,Research,293
P00104,S02855,Research,769
P00105,S03035,Research,425
P00106,S02981,Research,520
P00107,S00496,Business,125
P00108,S05893,Writing,310
P00109,S03258,Business,650
P00110,S06583,Research,101
P00111,S03199,Image Generation,397
P00112,S04766,Writing,90
P00113,S02643,Image Generation,735
P00114,S04700,Coding,328
P00115,S01446,Image Generation,104
P00116,S00456,Learning,444
P00117,S07165,Coding,258
P00118,S01537,Coding,373
P00119,S03842,Coding,71
P00120,S04230,Research,536
P00121,S03544,Image Generation,537
P00122,S07229,Research,206
P00123,S05000,Image Generation,85
P00124,S02167,Coding,744
P00125,S03698,Coding,682
P00126,S00986,Coding,478
P00127,S00793,Coding,243
P00128,S05390,Writing,667
P00129,S01010,Learning,390
P00130,S01052,Writing,219
P00131,S03847,Coding,294
P00132,S04109,Image Generation,580
P00133,S00344,Research,737
P00134,S07336,Business,294
P00135,S00371,Learning,300
P00136,S07233,Writing,491
P00137,S04625,Writing,424
P00138,S04184,Writing,280
P00139,S02845,Business,244
P00140,S03242,Learning,658
P00141,S06017,Image Generation,780
P00142,S07342,Learning,545
P00143,S04217,Writing,285
P00144,S06771,Learning,237
P00145,S02621,Learning,290
P00146,S02421,Image Generation,378
P00147,S02652,Learning,712
P00148,S03779,Image Generation,131
P00149,S01331,Business,164
P00150,S01315,Image Generation,623
P00151,S03138,Business,699
P00152,S01620,Coding,289
P00153,S05384,Learning,106
P00154,S00937,Business,379
P00155,S01514,Coding,64
P00156,S05370,Writing,712
P00157,S00804,Writing,660
P00158,S07122,Coding,421
P00159,S07263,Learning,658
P00160,S04169,Image Generation,416
P00161,S01569,Image Generation,560
P00162,S01694,Learning,395
P00163,S04198,Writing,144
P00164,S05748,Business,645
P00165,S02502,Business,647
P00166,S03218,Research,275
P00167,S05354,Image Generation,251
P00168,S07141,Business,345
P00169,S01279,Business,655
P00170,S03808,Coding,152
P00171,S01548,Writing,314
P00172,S06559,Image Generation,331
P00173,S06361,Writing,182
P00174,S05943,Writing,416
P00175,S06627,Image Generation,617
P00176,S02527,Research,242
P00177,S06212,Writing,470
P00178,S05982,Image Generation,779
P00179,S00280,Coding,774
P00180,S07242,Writing,697
P00181,S03727,Image Generation,589
P00182,S05113,Writing,483
P00183,S04841,Learning,407
P00184,S04026,Learning,624
P00185,S01872,Image Generation,637
P00186,S05657,Image Generation,346
P00187,S05178,Writing,605
P00188,S06423,Business,106
P00189,S04622,Image Generation,378
P00190,S05530,Research,526
P00191,S07090,Research,61
P00192,S06783,Writing,688
P00193,S07059,Image Generation,494
P00194,S06752,Coding,456
P00195,S02734,Research,732
P00196,S06564,Writing,398
P00197,S05293,Coding,224
P00198,S03382,Business,479
P00199,S03702,Research,437
P00200,S03541,Business,334
P00201,S01291,Writing,113
P00202,S04055,Research,753
P00203,S02901,Business,359
P00204,S02565,Writing,302
P00205,S01420,Business,469
P00206,S03313,Research,278
P00207,S03853,Research,50
P00208,S05613,Writing,82
P00209,S02367,Research,763
P00210,S06219,Business,90
P00211,S00125,Business,512
P00212,S00570,Research,650
P00213,S05468,Coding,457
P00214,S01341,Coding,209
P00215,S02187,Coding,543
P00216,S05229,Writing,114
P00217,S02047,Learning,281
P00218,S04949,Image Generation,161
P00219,S04926,Writing,263
P00220,S05849,Image Generation,180
P00221,S04283,Image Generation,432
P00222,S07077,Coding,229
P00223,S02470,Coding,493
P00224,S05359,Coding,334
P00225,S05785,Business,628
P00226,S05850,Learning,603
P00227,S00279,Writing,668
P00228,S01552,Learning,313
P00229,S07262,Learning,304
P00230,S01312,Image Generation,197
P00231,S03596,Learning,297
P00232,S00312,Writing,510
P00233,S04510,Image Generation,646
P00234,S05088,Writing,607
P00235,S03931,Learning,763
P00236,S02649,Writing,604
P00237,S05769,Learning,131
P00238,S02128,Business,652
P00239,S05032,Image Generation,704
P00240,S02349,Business,428
P00241,S02782,Business,93
P00242,S03220,Business,621
P00243,S07026,Research,483
P00244,S06694,Coding,571
P00245,S06738,Writing,465
P00246,S06937,Image Generation,341
P00247,S03656,Writing,659
P00248,S03185,Learning,635
P00249,S06903,Image Generation,135
P00250,S00203,Research,51
P00251,S00071,Research,586
P00252,S04529,Research,400
P00253,S05696,Writing,473
P00254,S05518,Research,125
P00255,S01843,Coding,662
P00256,S02529,Research,612
P00257,S06791,Learning,129
P00258,S06611,Research,673
P00259,S00788,Image Generation,462
P00260,S00371,Image Generation,135
P00261,S04231,Business,721
P00262,S06928,Learning,368
P00263,S07439,Coding,732
P00264,S04983,Image Generation,91
P00265,S07334,Business,512
P00266,S04012,Research,140
P00267,S05370,Business,93
P00268,S04034,Learning,653
P00269,S06195,Learning,712
P00270,S03132,Research,693
P00271,S05489,Learning,779
P00272,S03105,Coding,91
P00273,S05549,Image Generation,296
P00274,S02536,Coding,187
P00275,S02908,Research,329
P00276,S05696,Research,206
P00277,S07230,Business,408
P00278,S06558,Learning,532
P00279,S05334,Research,103
P00280,S03987,Coding,376
P00281,S05251,Business,748
P00282,S03045,Writing,152
P00283,S02489,Research,564
P00284,S04696,Coding,315
P00285,S00605,Coding,130
P00286,S06024,Writing,487
P00287,S01491,Research,578
P00288,S00833,Learning,325
P00289,S02324,Coding,346
P00290,S01666,Research,184
P00291,S04562,Coding,315
P00292,S02879,Writing,432
P00293,S06933,Research,148
P00294,S01247,Research,126
P00295,S01041,Writing,56
P00296,S03719,Learning,766
P00297,S04695,Learning,78
P00298,S05696,Coding,197
P00299,S06237,Research,553
P00300,S00557,Learning,359
P00301,S01377,Writing,728
P00302,S06633,Business,275
P00303,S04088,Writing,581
P00304,S07194,Coding,289
P00305,S03790,Research,300
P00306,S03744,Research,219
P00307,S00219,Learning,723
P00308,S03756,Writing,560
P00309,S00410,Coding,307
P00310,S06962,Coding,717
P00311,S05087,Business,662
P00312,S07379,Research,722
P00313,S00424,Business,453
P00314,S05508,Business,603
P00315,S07027,Image Generation,402
P00316,S06230,Learning,227
P00317,S02358,Writing,118
P00318,S00506,Research,313
P00319,S06183,Research,115
P00320,S07308,Business,255
P00321,S00654,Writing,99
P00322,S03431,Learning,793
P00323,S06159,Writing,290
P00324,S03201,Business,534
P00325,S06788,Writing,787
P00326,S00263,Research,183
P00327,S06065,Learning,84
P00328,S07209,Coding,155
P00329,S01244,Business,513
P00330,S03462,Coding,696
P00331,S00671,Coding,695
P00332,S05788,Image Generation,137
P00333,S06255,Image Generation,503
P00334,S03207,Business,490
P00335,S02964,Research,641
P00336,S05494,Writing,615
P00337,S04658,Research,799
P00338,S05391,Research,584
P00339,S04758,Business,636
P00340,S03026,Learning,207
P00341,S06511,Coding,207
P00342,S01995,Coding,293
P00343,S04403,Learning,485
P00344,S06594,Learning,414
P00345,S01591,Coding,129
P00346,S02084,Learning,379
P00347,S07100,Writing,350
P00348,S05420,Learning,472
P00349,S02298,Learning,265
P00350,S04152,Research,255
P00351,S07173,Research,704
P00352,S03160,Writing,588
P00353,S04367,Coding,51
P00354,S00958,Business,528
P00355,S02485,Image Generation,491
P00356,S04742,Business,492
P00357,S02790,Research,208
P00358,S06637,Image Generation,61
P00359,S03595,Learning,336
P00360,S01012,Image Generation,406
P00361,S04120,Learning,760
P00362,S04944,Coding,248
P00363,S03330,Image Generation,285
P00364,S01105,Coding,335
P00365,S00580,Coding,311
P00366,S03740,Coding,417
P00367,S03759,Image Generation,639
P00368,S06839,Research,132
P00369,S07447,Learning,606
P00370,S06649,Coding,641
P00371,S02182,Business,206
P00372,S04882,Research,283
P00373,S07207,Business,188
P00374,S03754,Business,780
P00375,S06998,Business,60
P00376,S04659,Research,448
P00377,S06413,Writing,439
P00378,S01856,Learning,128
P00379,S00712,Writing,419
P00380,S03866,Coding,224
P00381,S01819,Image Generation,277
P00382,S03337,Writing,500
P00383,S05473,Image Generation,286
P00384,S00564,Learning,330
P00385,S04012,Research,387
P00386,S02890,Business,522
P00387,S04463,Coding,716
P00388,S00118,Image Generation,448
P00389,S01394,Coding,550
P00390,S01703,Coding,673
P00391,S02784,Learning,729
P00392,S03851,Image Generation,656
P00393,S01846,Business,179
P00394,S04997,Coding,447
P00395,S06948,Writing,524
P00396,S04004,Image Generation,266
P00397,S01468,Image Generation,395
P00398,S04932,Image Generation,701
P00399,S02819,Image Generation,674
P00400,S02437,Learning,145
P00401,S01822,Coding,423
P00402,S02183,Business,799
P00403,S05082,Image Generation,89
P00404,S05066,Coding,262
P00405,S03156,Business,393
P00406,S05835,Writing,357
P00407,S00472,Writing,654
P00408,S05638,Writing,340
P00409,S01270,Learning,375
P00410,S02596,Coding,569
P00411,S06659,Writing,112
P00412,S03688,Learning,157
P00413,S02951,Image Generation,777
P00414,S00902,Learning,186
P00415,S06759,Research,481
P00416,S04464,Business,212
P00417,S00022,Writing,195
P00418,S06704,Business,261
P00419,S04122,Learning,631
P00420,S02919,Learning,746
P00421,S02432,Business,316
P00422,S00227,Writing,451
P00423,S02867,Business,558
P00424,S05462,Business,418
P00425,S03412,Business,216
P00426,S03460,Research,414
P00427,S04402,Writing,745
P00428,S02049,Coding,87
P00429,S03992,Coding,264
P00430,S02284,Image Generation,312
P00431,S02632,Image Generation,583
P00432,S01057,Research,798
P00433,S04818,Business,202
P00434,S00403,Coding,319
P00435,S01912,Writing,297
P00436,S02013,Learning,757
P00437,S01880,Research,491
P00438,S01721,Learning,697
P00439,S01559,Writing,664
P00440,S01115,Image Generation,434
P00441,S00803,Research,613
P00442,S05086,Business,651
P00443,S03813,Writing,674
P00444,S00934,Research,191
P00445,S03590,Coding,524
P00446,S04362,Learning,532
P00447,S03677,Writing,682
P00448,S05366,Research,494
P00449,S06252,Learning,443
P00450,S03119,Image Generation,385
P00451,S06895,Business,509
P00452,S03180,Business,409
P00453,S02610,Learning,228
P00454,S06973,Image Generation,612
P00455,S02732,Image Generation,225
P00456,S01029,Learning,444
P00457,S03122,Writing,490
P00458,S06352,Research,148
P00459,S06619,Research,494
P00460,S01244,Coding,75
P00461,S07303,Coding,351
P00462,S03714,Research,594
P00463,S05647,Learning,246
P00464,S01979,Learning,338
P00465,S05394,Writing,623
P00466,S04969,Business,694
P00467,S03294,Business,289
P00468,S04221,Business,388
P00469,S06782,Research,330
P00470,S05239,Coding,235
P00471,S01740,Business,793
P00472,S02444,Image Generation,207
P00473,S01586,Coding,595
P00474,S05533,Image Generation,474
P00475,S06322,Research,353
P00476,S00419,Business,233
P00477,S02173,Image Generation,240
P00478,S04590,Coding,681
P00479,S01776,Coding,558
P00480,S04832,Research,175
P00481,S03634,Writing,415
P00482,S06124,Writing,50
P00483,S05205,Coding,759
P00484,S02979,Learning,793
P00485,S03942,Learning,433
P00486,S01708,Coding,399
P00487,S06744,Writing,263
P00488,S01018,Writing,521
P00489,S00963,Learning,113
P00490,S06482,Writing,783
P00491,S05906,Research,471
P00492,S05310,Research,186
P00493,S04457,Image Generation,659
P00494,S01277,Writing,519
P00495,S05607,Research,551
P00496,S05310,Research,315
P00497,S02551,Research,772
P00498,S03604,Image Generation,177
P00499,S02821,Research,211
P00500,S04893,Learning,210
P00501,S01461,Research,128
P00502,S01403,Research,334
P00503,S01906,Learning,331
P00504,S01430,Business,477
P00505,S00178,Coding,307
P00506,S00703,Research,429
P00507,S07037,Image Generation,590
P00508,S05819,Research,152
P00509,S05088,Coding,297
P00510,S02090,Coding,243
P00511,S03287,Business,350
P00512,S03005,Coding,322
P00513,S03055,Writing,418
P00514,S02584,Learning,509
P00515,S06756,Research,296
P00516,S03370,Image Generation,768
P00517,S03407,Research,570
P00518,S01770,Research,407
P00519,S00863,Business,435
P00520,S02134,Research,52
P00521,S01964,Research,249
P00522,S03430,Learning,526
P00523,S06506,Learning,448
P00524,S03482,Research,490
P00525,S00164,Learning,304
P00526,S03671,Writing,149
P00527,S07119,Research,515
P00528,S00190,Image Generation,76
P00529,S01841,Writing,343
P00530,S00081,Image Generation,651
P00531,S03384,Writing,52
P00532,S00055,Writing,138
P00533,S00328,Research,551
P00534,S04798,Writing,515
P00535,S02322,Business,198
P00536,S00315,Learning,306
P00537,S06050,Coding,605
P00538,S04422,Learning,224
P00539,S06428,Coding,406
P00540,S04511,Learning,236
P00541,S06321,Coding,797
P00542,S05897,Image Generation,580
P00543,S02243,Coding,777
P00544,S04479,Learning,767
P00545,S01056,Learning,569
P00546,S04282,Research,647
P00547,S07492,Writing,800
P00548,S04255,Coding,667
P00549,S03692,Research,597
P00550,S00079,Learning,609
P00551,S06680,Coding,366
P00552,S05240,Research,271
P00553,S00512,Writing,332
P00554,S07105,Image Generation,171
P00555,S00670,Image Generation,428
P00556,S02956,Image Generation,646
P00557,S01774,Research,455
P00558,S03546,Business,286
P00559,S00067,Writing,249
P00560,S02069,Research,179
P00561,S02880,Coding,658
P00562,S05153,Image Generation,764
P00563,S00554,Writing,383
P00564,S03794,Research,545
P00565,S00483,Research,746
P00566,S01469,Learning,137
P00567,S03996,Research,629
P00568,S01238,Writing,485
P00569,S00414,Learning,631
P00570,S01271,Research,242
P00571,S00374,Business,570
P00572,S03336,Learning,381
P00573,S05598,Image Generation,98
P00574,S02695,Writing,396
P00575,S05666,Coding,545
P00576,S00834,Writing,262
P00577,S01371,Writing,138
P00578,S00225,Coding,160
P00579,S05713,Image Generation,134
P00580,S06698,Learning,520
P00581,S00263,Coding,744
P00582,S05254,Learning,516
P00583,S02482,Business,113
P00584,S05568,Image Generation,278
P00585,S00471,Business,426
P00586,S05238,Coding,266
P00587,S05035,Coding,759
P00588,S00500,Coding,683
P00589,S02496,Learning,378
P00590,S01550,Writing,171
P00591,S03422,Writing,310
P00592,S05186,Business,575
P00593,S03270,Business,92
P00594,S05182,Business,116
P00595,S05694,Research,184
P00596,S03828,Writing,234
P00597,S00436,Writing,543
P00598,S03457,Research,640
P00599,S02040,Research,455
P00600,S05291,Research,440
P00601,S04947,Research,201
P00602,S01541,Writing,624
P00603,S02607,Writing,199
P00604,S02463,Research,147
P00605,S03205,Learning,519
P00606,S04978,Research,247
P00607,S02644,Business,158
P00608,S00281,Learning,531
P00609,S05957,Image Generation,51
P00610,S00427,Learning,277
P00611,S00376,Learning,320
P00612,S04472,Learning,156
P00613,S02990,Image Generation,125
P00614,S05915,Coding,203
P00615,S03581,Business,186
P00616,S04970,Coding,436
P00617,S06271,Writing,106
P00618,S03792,Research,200
P00619,S01319,Coding,643
P00620,S02952,Image Generation,273
P00621,S06619,Business,173
P00622,S00024,Writing,164
P00623,S00270,Image Generation,62
P00624,S05964,Business,241
P00625,S03549,Writing,587
P00626,S01254,Learning,310
P00627,S05406,Research,649
P00628,S04493,Learning,299
P00629,S00244,Coding,318
P00630,S03881,Business,70
P00631,S04650,Business,714
P00632,S01970,Image Generation,282
P00633,S02870,Research,197
P00634,S06177,Learning,589
P00635,S02851,Image Generation,489
P00636,S05672,Research,276
P00637,S05647,Research,146
P00638,S02636,Research,294
P00639,S02644,Research,764
P00640,S05510,Image Generation,582
P00641,S06425,Coding,108
P00642,S04523,Learning,480
P00643,S06899,Writing,362
P00644,S06145,Research,416
P00645,S00196,Research,121
P00646,S00812,Learning,504
P00647,S04142,Business,665
P00648,S00901,Coding,237
P00649,S07024,Research,391
P00650,S04376,Learning,77
P00651,S01520,Learning,52
P00652,S02075,Coding,356
P00653,S02151,Coding,751
P00654,S05648,Writing,129
P00655,S03505,Business,729
P00656,S03234,Research,300
P00657,S02113,Writing,379
P00658,S03948,Learning,630
P00659,S03318,Business,638
P00660,S00806,Learning,255
P00661,S07424,Research,647
P00662,S00746,Learning,462
P00663,S00233,Coding,590
P00664,S01223,Research,121
P00665,S01384,Coding,562
P00666,S05761,Research,94
P00667,S00548,Writing,747
P00668,S04016,Writing,341
P00669,S00484,Writing,450
P00670,S04756,Coding,557
P00671,S04676,Research,218
P00672,S03033,Research,93
P00673,S03716,Business,184
P00674,S07120,Learning,588
P00675,S04244,Research,324
P00676,S03896,Coding,259
P00677,S01370,Research,82
P00678,S02435,Image Generation,507
P00679,S03948,Writing,57
P00680,S01987,Business,728
P00681,S01399,Business,515
P00682,S07118,Learning,69
P00683,S00519,Research,606
P00684,S03297,Business,65
P00685,S07128,Learning,738
P00686,S01233,Coding,488
P00687,S06939,Research,529
P00688,S03933,Business,672
P00689,S02147,Business,755
P00690,S01177,Research,294
P00691,S06554,Research,716
P00692,S04569,Learning,475
P00693,S03970,Business,186
P00694,S02768,Coding,498
P00695,S01407,Research,503
P00696,S04946,Image Generation,666
P00697,S02124,Research,758
P00698,S04981,Business,529
P00699,S04348,Image Generation,294
P00700,S02916,Image Generation,514
P00701,S03293,Image Generation,575
P00702,S07496,Writing,452
P00703,S02533,Business,531
P00704,S02893,Business,669
P00705,S05897,Image Generation,246
P00706,S06818,Coding,782
P00707,S06528,Writing,77
P00708,S02767,Coding,519
P00709,S03716,Research,431
P00710,S07354,Image Generation,398
P00711,S00327,Learning,80
P00712,S01222,Business,412
P00713,S03344,Learning,122
P00714,S06822,Coding,717
P00715,S05625,Writing,132
P00716,S00303,Learning,104
P00717,S05144,Research,369
P00718,S02800,Learning,770
P00719,S04652,Image Generation,482
P00720,S03525,Image Generation,179
P00721,S05228,Learning,702
P00722,S05320,Coding,613
P00723,S06290,Writing,425
P00724,S06627,Business,765
P00725,S04117,Business,455
P00726,S06649,Writing,443
P00727,S04185,Writing,719
P00728,S05127,Writing,657
P00729,S07151,Research,535
P00730,S00103,Business,65
P00731,S03382,Learning,241
P00732,S00403,Coding,514
P00733,S00949,Learning,713
P00734,S03875,Writing,420
P00735,S01937,Image Generation,304
P00736,S05001,Learning,235
P00737,S04569,Research,465
P00738,S01163,Writing,311
P00739,S00425,Business,589
P00740,S03712,Image Generation,274
P00741,S02127,Writing,277
P00742,S00538,Research,146
P00743,S07285,Learning,737
P00744,S03085,Writing,260
P00745,S01135,Research,794
P00746,S06681,Image Generation,202
P00747,S05994,Business,762
P00748,S02450,Learning,266
P00749,S02987,Writing,275
P00750,S01870,Business,329
P00751,S00559,Image Generation,432
P00752,S03980,Research,315
P00753,S00338,Image Generation,283
P00754,S07337,Learning,649
P00755,S04827,Coding,772
P00756,S06211,Writing,98
P00757,S02743,Writing,647
P00758,S03719,Writing,777
P00759,S01583,Research,168
P00760,S02942,Learning,371
P00761,S02576,Learning,527
P00762,S06401,Writing,486
P00763,S04365,Business,504
P00764,S03028,Coding,461
P00765,S02877,Learning,139
P00766,S05820,Business,272
P00767,S01563,Writing,648
P00768,S01643,Business,609
P00769,S04354,Research,719
P00770,S00005,Coding,538
P00771,S05797,Learning,422
P00772,S06337,Research,708
P00773,S06837,Image Generation,638
P00774,S02805,Learning,362
P00775,S05939,Coding,678
P00776,S04615,Business,172
P00777,S04482,Business,528
P00778,S03388,Writing,105
P00779,S00293,Learning,246
P00780,S01576,Coding,610
P00781,S05245,Coding,389
P00782,S01112,Business,371
P00783,S06206,Image Generation,158
P00784,S05623,Business,427
P00785,S05917,Writing,427
P00786,S06852,Learning,557
P00787,S04409,Business,797
P00788,S06388,Writing,421
P00789,S06858,Image Generation,563
P00790,S06799,Coding,717
P00791,S02901,Image Generation,165
P00792,S01388,Coding,65
P00793,S06615,Business,710
P00794,S06255,Learning,391
P00795,S04684,Coding,520
P00796,S00212,Learning,135
P00797,S03642,Learning,632
P00798,S06202,Research,83
P00799,S00512,Writing,230
P00800,S04074,Business,328
P00801,S01966,Writing,119
P00802,S03672,Research,307
P00803,S01379,Learning,423
P00804,S01606,Coding,611
P00805,S01044,Learning,194
P00806,S03346,Research,305
P00807,S05421,Image Generation,332
P00808,S03212,Business,759
P00809,S03213,Learning,389
P00810,S02958,Writing,212
P00811,S03646,Research,696
P00812,S00922,Learning,273
P00813,S00859,Image Generation,318
P00814,S02583,Research,492
P00815,S02343,Writing,182
P00816,S04108,Learning,735
P00817,S06678,Writing,255
P00818,S02399,Coding,610
P00819,S02047,Image Generation,587
P00820,S00688,Coding,750
P00821,S04250,Research,277
P00822,S01805,Writing,159
P00823,S03013,Research,656
P00824,S05931,Learning,145
P00825,S06652,Research,241
P00826,S05678,Learning,336
P00827,S07182,Coding,334
P00828,S03590,Research,700
P00829,S01168,Business,312
P00830,S06366,Research,774
P00831,S04638,Coding,286
P00832,S04614,Coding,543
P00833,S01027,Writing,521
P00834,S02627,Business,666
P00835,S04881,Research,191
P00836,S00149,Coding,482
P00837,S01350,Coding,494
P00838,S03793,Business,214
P00839,S04430,Research,532
P00840,S00085,Image Generation,138
P00841,S00026,Research,541
P00842,S02747,Research,773
P00843,S04768,Image Generation,484
P00844,S01497,Research,307
P00845,S02825,Learning,462
P00846,S05877,Coding,656
P00847,S02495,Business,471
P00848,S06943,Coding,269
P00849,S06921,Business,579
P00850,S04228,Coding,158
P00851,S01456,Writing,715
P00852,S05021,Learning,591
P00853,S04609,Research,297
P00854,S04593,Business,153
P00855,S02289,Research,619
P00856,S02622,Learning,607
P00857,S04884,Image Generation,656
P00858,S03794,Research,82
P00859,S05564,Learning,478
P00860,S05477,Image Generation,251
P00861,S06200,Business,385
P00862,S07015,Research,709
P00863,S02363,Learning,777
P00864,S00783,Writing,597
P00865,S07307,Image Generation,415
P00866,S02095,Image Generation,66
P00867,S00955,Coding,595
P00868,S05997,Learning,76
P00869,S06034,Learning,340
P00870,S02100,Learning,271
P00871,S07273,Writing,116
P00872,S06042,Coding,508
P00873,S07318,Writing,484
P00874,S07477,Research,371
P00875,S06341,Research,338
P00876,S03669,Coding,378
P00877,S01291,Learning,251
P00878,S05413,Coding,326
P00879,S06490,Image Generation,487
P00880,S01816,Business,794
P00881,S06313,Image Generation,131
P00882,S07397,Research,125
P00883,S04328,Coding,66
P00884,S03851,Learning,242
P00885,S00831,Learning,600
P00886,S04751,Writing,548
P00887,S07389,Research,251
P00888,S01520,Learning,798
P00889,S04444,Business,482
P00890,S02148,Learning,316
P00891,S06770,Image Generation,531
P00892,S03053,Business,68
P00893,S01533,Image Generation,601
P00894,S03396,Writing,299
P00895,S04837,Business,339
P00896,S06140,Image Generation,622
P00897,S07115,Writing,305
P00898,S02478,Coding,638
P00899,S00359,Coding,196
P00900,S03813,Writing,228
P00901,S02345,Research,398
P00902,S04152,Image Generation,107
P00903,S07023,Business,211
P00904,S03393,Coding,791
P00905,S07326,Coding,784
P00906,S01419,Learning,269
P00907,S02559,Research,727
P00908,S06472,Learning,422
P00909,S06965,Business,507
P00910,S02515,Research,515
P00911,S00284,Image Generation,460
P00912,S06710,Image Generation,259
P00913,S00258,Writing,430
P00914,S04065,Research,696
P00915,S01251,Learning,622
P00916,S03662,Business,533
P00917,S00383,Coding,497
P00918,S03541,Writing,258
P00919,S05925,Learning,210
P00920,S02494,Image Generation,419
P00921,S06927,Learning,240
P00922,S04433,Research,396
P00923,S02445,Business,337
P00924,S00525,Coding,701
P00925,S00354,Image Generation,642
P00926,S04144,Research,390
P00927,S00542,Coding,396
P00928,S07239,Research,784
P00929,S01845,Writing,514
P00930,S00743,Research,303
P00931,S04159,Learning,785
P00932,S05914,Learning,137
P00933,S04719,Image Generation,374
P00934,S01132,Coding,722
P00935,S04192,Research,74
P00936,S05417,Research,195
P00937,S01539,Learning,544
P00938,S04863,Business,468
P00939,S06233,Business,398
P00940,S06881,Learning,68
P00941,S03474,Coding,458
P00942,S04802,Image Generation,262
P00943,S01435,Coding,728
P00944,S06803,Coding,349
P00945,S01606,Research,192
P00946,S02428,Learning,325
P00947,S04207,Research,203
P00948,S01797,Writing,548
P00949,S02197,Research,105
P00950,S02296,Learning,460
P00951,S02675,Coding,560
P00952,S04673,Writing,624
P00953,S00805,Business,574
P00954,S03553,Coding,712
P00955,S03734,Business,163
P00956,S03978,Coding,353
P00957,S04614,Business,214
P00958,S07249,Research,135
P00959,S06270,Learning,202
P00960,S02167,Learning,478
P00961,S05118,Research,363
P00962,S05306,Learning,544
P00963,S03928,Learning,173
P00964,S06772,Business,110
P00965,S00993,Writing,407
P00966,S06509,Writing,495
P00967,S04633,Learning,164
P00968,S05631,Business,696
P00969,S06668,Writing,419
P00970,S01536,Writing,185
P00971,S00472,Writing,315
P00972,S06881,Business,593
P00973,S05836,Learning,367
P00974,S03888,Writing,719
P00975,S01190,Research,272
P00976,S06746,Writing,713
P00977,S00524,Image Generation,283
P00978,S04353,Coding,701
P00979,S02947,Learning,264
P00980,S01383,Research,737
P00981,S04522,Writing,727
P00982,S03862,Business,554
P00983,S02272,Learning,507
P00984,S07347,Writing,393
P00985,S01450,Research,656
P00986,S03430,Writing,267
P00987,S01374,Writing,628
P00988,S00115,Business,559
P00989,S06030,Business,83
P00990,S05820,Business,681
P00991,S03741,Writing,176
P00992,S00265,Writing,575
P00993,S01890,Coding,541
P00994,S03594,Coding,143
P00995,S01795,Research,684
P00996,S04458,Business,406
P00997,S02150,Coding,692
P00998,S05090,Coding,710
P00999,S06482,Image Generation,778
P01000,S01355,Business,89
P01001,S01922,Business,559
P01002,S00284,Image Generation,341
